PrivateOrNot,AnonymousOrNot,TotalTime,Usertime,Systime,Maxrss,Minfaults,Majfaults,Inblock,Outblock,VolCSW,InvolCSV,Filesize
Shared,Anonymous, 0.914, 0.068, 0.846,1050752,262478,0,0,0,0,208,1073741824
Shared,Anonymous, 0.825, 0.060, 0.765,1050624,262480,0,0,0,0,187,1073741824
Shared,Anonymous, 0.749, 0.084, 0.665,1050752,262478,0,0,0,0,164,1073741824
Shared,Anonymous, 0.782, 0.068, 0.714,1050496,262476,0,0,0,0,184,1073741824
Shared,Anonymous, 0.748, 0.048, 0.700,1050752,262478,0,0,0,0,166,1073741824
Shared,Anonymous, 0.765, 0.064, 0.701,1050752,262480,0,0,0,0,172,1073741824
Shared,Anonymous, 0.746, 0.049, 0.698,1050752,262480,0,0,0,0,164,1073741824
Shared,Anonymous, 0.770, 0.075, 0.695,1050624,262478,0,0,0,0,177,1073741824
Shared,Anonymous, 0.744, 0.049, 0.695,1050624,262477,0,0,0,0,169,1073741824
Shared,Anonymous, 0.793, 0.060, 0.734,1050752,262480,0,0,0,0,180,1073741824
Shared,Anonymous, 0.749, 0.053, 0.696,1050624,262479,0,0,0,0,169,1073741824
Shared,Anonymous, 0.767, 0.047, 0.720,1050624,262477,0,0,0,0,172,1073741824
Shared,Anonymous, 0.750, 0.080, 0.670,1050624,262478,0,0,0,0,173,1073741824
Shared,Anonymous, 0.775, 0.076, 0.700,1050496,262475,0,0,0,0,180,1073741824
Shared,Anonymous, 0.752, 0.033, 0.719,1050496,262476,0,0,0,0,168,1073741824
Shared,Anonymous, 0.752, 0.068, 0.684,1050624,262479,0,0,0,0,171,1073741824
Shared,Anonymous, 0.773, 0.063, 0.710,1050624,262480,0,0,0,0,176,1073741824
Shared,Anonymous, 0.779, 0.044, 0.735,1050496,262478,0,0,0,0,175,1073741824
Shared,Anonymous, 0.755, 0.064, 0.691,1050624,262480,0,0,0,0,171,1073741824
Shared,Anonymous, 0.754, 0.059, 0.694,1050624,262478,0,0,0,0,171,1073741824
Private,Anonymous, 0.531, 0.069, 0.461,1050624,262478,0,0,0,0,113,1073741824
Private,Anonymous, 0.539, 0.063, 0.476,1050624,262478,0,0,0,0,116,1073741824
Private,Anonymous, 0.534, 0.079, 0.455,1050624,262478,0,0,0,0,116,1073741824
Private,Anonymous, 0.514, 0.052, 0.462,1050752,262478,0,0,0,0,106,1073741824
Private,Anonymous, 0.524, 0.048, 0.476,1050752,262477,0,0,0,0,109,1073741824
Private,Anonymous, 0.553, 0.071, 0.482,1050752,262477,0,0,0,0,121,1073741824
Private,Anonymous, 0.539, 0.063, 0.475,1050752,262477,0,0,0,0,113,1073741824
Private,Anonymous, 0.533, 0.055, 0.478,1050752,262481,0,0,0,0,110,1073741824
Private,Anonymous, 0.536, 0.040, 0.496,1050752,262478,0,0,0,0,119,1073741824
Private,Anonymous, 0.532, 0.051, 0.481,1050752,262478,0,0,0,0,114,1073741824
Private,Anonymous, 0.523, 0.064, 0.459,1050624,262475,0,0,0,0,108,1073741824
Private,Anonymous, 0.520, 0.052, 0.468,1050752,262479,0,0,0,0,111,1073741824
Private,Anonymous, 0.537, 0.052, 0.484,1050752,262478,0,0,0,0,118,1073741824
Private,Anonymous, 0.544, 0.076, 0.469,1050752,262479,0,0,0,0,116,1073741824
Private,Anonymous, 0.524, 0.045, 0.480,1050752,262478,0,0,0,0,112,1073741824
Private,Anonymous, 0.512, 0.052, 0.461,1050752,262480,0,0,0,0,117,1073741824
Private,Anonymous, 0.510, 0.053, 0.457,1050752,262479,0,0,0,0,111,1073741824
Private,Anonymous, 0.506, 0.044, 0.462,1050624,262475,0,0,0,0,110,1073741824
Private,Anonymous, 0.521, 0.067, 0.454,1050752,262479,0,0,0,0,114,1073741824
Private,Anonymous, 0.519, 0.056, 0.462,1050752,262480,0,0,0,0,116,1073741824

