PrivateOrNot,AnonymousOrNot,TotalTime,Usertime,Systime,Maxrss,Minfaults,Majfaults,Inblock,Outblock,VolCSW,InvolCSV,Filesize
Shared,FileBacked, 1.378, 0.076, 1.302,1050752,262478,0,0,2097152,59,13,1073741824
Shared,FileBacked, 1.828, 0.144, 1.684,1050752,262478,0,0,2097152,42,17,1073741824
Shared,FileBacked, 0.948, 0.060, 0.888,1050752,262480,0,0,2097152,50,7,1073741824
Shared,FileBacked, 1.159, 0.044, 1.115,1050752,262480,0,0,2097152,47,13,1073741824
Shared,FileBacked, 1.465, 0.084, 1.381,1050752,262478,0,0,2097152,37,11,1073741824
Shared,FileBacked, 1.532, 0.108, 1.424,1050496,262477,0,0,2097152,24,13,1073741824
Shared,FileBacked, 0.936, 0.084, 0.852,1050752,262480,0,0,2097152,50,6,1073741824
Shared,FileBacked, 0.882, 0.076, 0.806,1050752,262478,0,0,2097152,8,8,1073741824
Shared,FileBacked, 1.077, 0.092, 0.985,1050752,262478,0,0,2097152,10,9,1073741824
Shared,FileBacked, 0.909, 0.088, 0.820,1050624,262480,0,0,2097152,51,14,1073741824
Shared,FileBacked, 0.921, 0.052, 0.868,1050624,262479,0,0,2097152,5,9,1073741824
Shared,FileBacked, 0.941, 0.048, 0.893,1050752,262478,0,0,2097152,81,15,1073741824
Shared,FileBacked, 1.046, 0.056, 0.990,1050624,262478,0,0,2097152,37,7,1073741824
Shared,FileBacked, 3.027, 0.210, 2.816,1050752,262481,0,0,2097152,15431,160,1073741824
Shared,FileBacked, 2.503, 0.136, 2.367,1050752,262481,0,0,2097152,68,21,1073741824
Shared,FileBacked, 1.637, 0.112, 1.524,1050752,262480,0,0,2097152,54,15,1073741824
Shared,FileBacked, 1.521, 0.120, 1.401,1050624,262478,0,0,2097152,26,18,1073741824
Shared,FileBacked, 0.922, 0.048, 0.874,1050624,262476,0,0,2097152,49,10,1073741824
Shared,FileBacked, 1.199, 0.076, 1.123,1050752,262478,0,0,2097152,7,15,1073741824
Shared,FileBacked, 0.923, 0.064, 0.859,1050752,262481,0,0,2097152,50,11,1073741824
Private,FileBacked, 0.753, 0.064, 0.689,1050752,262477,0,0,0,0,10,1073741824
Private,FileBacked, 0.765, 0.072, 0.693,1050752,262478,0,0,0,0,5,1073741824
Private,FileBacked, 0.752, 0.032, 0.720,1050624,262476,0,0,0,0,7,1073741824
Private,FileBacked, 0.757, 0.048, 0.709,1050752,262480,0,0,0,0,13,1073741824
Private,FileBacked, 0.931, 0.080, 0.851,1050752,262477,0,0,0,0,10,1073741824
Private,FileBacked, 1.247, 0.100, 1.147,1050752,262481,0,0,0,0,17,1073741824
Private,FileBacked, 0.751, 0.068, 0.683,1050752,262480,0,0,0,0,7,1073741824
Private,FileBacked, 0.754, 0.060, 0.694,1050752,262478,0,0,0,0,8,1073741824
Private,FileBacked, 0.749, 0.048, 0.701,1050624,262476,0,0,0,0,7,1073741824
Private,FileBacked, 1.199, 0.116, 1.083,1050752,262480,0,0,0,0,14,1073741824
Private,FileBacked, 0.798, 0.056, 0.742,1050624,262478,0,0,0,0,4,1073741824
Private,FileBacked, 0.773, 0.060, 0.713,1050752,262477,0,0,0,0,10,1073741824
Private,FileBacked, 0.759, 0.048, 0.710,1050624,262479,0,0,0,0,8,1073741824
Private,FileBacked, 0.763, 0.052, 0.711,1050624,262479,0,0,0,0,5,1073741824
Private,FileBacked, 0.767, 0.056, 0.711,1050752,262478,0,0,0,0,7,1073741824
Private,FileBacked, 0.762, 0.068, 0.694,1050752,262480,0,0,0,0,6,1073741824
Private,FileBacked, 0.766, 0.056, 0.710,1050752,262480,0,0,0,0,14,1073741824
Private,FileBacked, 0.776, 0.044, 0.732,1050752,262478,0,0,0,0,5,1073741824
Private,FileBacked, 0.946, 0.100, 0.846,1050752,262480,0,0,0,0,6,1073741824
Private,FileBacked, 1.466, 0.096, 1.370,1050752,262478,0,0,0,0,22,1073741824
Shared,Anonymous, 1.152, 0.064, 1.089,1050752,262478,0,0,0,0,20,1073741824
Shared,Anonymous, 0.976, 0.060, 0.916,1050752,262479,0,0,0,0,12,1073741824
Shared,Anonymous, 1.251, 0.108, 1.143,1050624,262478,0,0,0,0,19,1073741824
Shared,Anonymous, 1.031, 0.084, 0.947,1050752,262478,0,0,0,0,19,1073741824
Shared,Anonymous, 1.299, 0.100, 1.200,1050496,262478,0,0,0,0,31,1073741824
