ReadOrWrite,SequentialOrRandom,TotalTime,Usertime,Systime,Maxrss,Minfaults,Majfaults,Inblock,Outblock,VolCSW,InvolCSV,Filesize,ProcessorCore
Read,Sequential,39.171, 0.096,39.075,2876,599,0,2097152,0,262139,11,1073741824,0
Read,Sequential,39.418, 0.078,39.341,2904,598,0,2097152,0,262139,10,1073741824,0
Read,Sequential,39.360, 0.112,39.248,2940,598,0,2097152,0,262135,16,1073741824,0
Read,Sequential,39.441, 0.103,39.338,2936,600,0,2097152,0,262138,19,1073741824,0
Read,Sequential,39.325, 0.075,39.250,2880,597,0,2097152,0,262139,9,1073741824,0
Write,Sequential,39.723, 0.078,39.645,2852,596,0,0,2097152,262136,13,1073741824,0
Write,Sequential,39.758, 0.098,39.659,2880,595,0,0,2097152,262154,14,1073741824,0
Write,Sequential,38.351, 0.086,38.265,2908,596,0,0,2097152,262140,16,1073741824,0
Write,Sequential,38.192, 0.106,38.085,2884,597,0,0,2097152,262137,17,1073741824,0
Write,Sequential,38.117, 0.118,37.999,2880,597,0,0,2097152,262135,22,1073741824,0
Read,Random,38.166, 0.107,38.059,2880,597,0,2097152,0,262137,24,1073741824,0
Read,Random,38.224, 0.116,38.108,2928,596,0,2097152,0,262138,15,1073741824,0
Read,Random,38.320, 0.135,38.185,2928,597,0,2097152,0,262130,16,1073741824,0
Read,Random,38.213, 0.141,38.071,2920,597,0,2097152,0,262134,14,1073741824,0
Read,Random,37.848, 0.086,37.762,2880,596,0,2097152,0,262131,10,1073741824,0
Write,Random,37.867, 0.122,37.745,2932,597,0,0,2097152,262133,14,1073741824,0
Write,Random,37.681, 0.110,37.571,2876,596,0,0,2097152,262135,15,1073741824,0
Write,Random,38.050, 0.074,37.976,2884,596,0,0,2097152,262140,12,1073741824,0
Write,Random,38.106, 0.096,38.009,2876,595,0,0,2097152,262135,7,1073741824,0
Write,Random,38.227, 0.131,38.096,2932,599,0,0,2097152,262135,11,1073741824,0
