ReadOrWrite,SequentialOrRandom,TotalTime,Usertime,Systime,Maxrss,Minfaults,Majfaults,Inblock,Outblock,VolCSW,InvolCSV,Filesize,ProcessorCore
Read,Sequential, 1.497, 0.072, 1.425,3200,591,0,2097152,0,262144,6,1073741824,0
Read,Sequential, 1.262, 0.085, 1.177,3200,590,0,2097152,0,262144,6,1073741824,0
Read,Sequential, 1.201, 0.077, 1.124,3200,591,0,2097152,0,262144,3,1073741824,0
Read,Sequential, 1.240, 0.058, 1.182,3072,590,0,2097152,0,262144,5,1073741824,0
Read,Sequential, 1.232, 0.094, 1.138,3072,590,0,2097152,0,262144,3,1073741824,0
Read,Sequential, 1.241, 0.077, 1.164,3072,589,0,2097152,0,262144,11,1073741824,0
Read,Sequential, 1.239, 0.042, 1.197,3200,591,0,2097152,0,262144,5,1073741824,0
Read,Sequential, 1.241, 0.080, 1.161,3200,592,0,2097152,0,262144,4,1073741824,0
Read,Sequential, 1.232, 0.050, 1.183,3200,591,0,2097152,0,262144,6,1073741824,0
Read,Sequential, 1.228, 0.065, 1.164,3200,589,0,2097152,0,262144,4,1073741824,0
Write,Sequential, 1.318, 0.037, 1.281,3200,589,0,0,2097152,262144,6,1073741824,0
Write,Sequential, 1.319, 0.077, 1.242,3200,591,0,0,2097152,262144,9,1073741824,0
Write,Sequential, 1.311, 0.086, 1.225,3200,592,0,0,2097152,262143,4,1073741824,0
Write,Sequential, 1.311, 0.089, 1.221,3200,592,0,0,2097152,262144,6,1073741824,0
Write,Sequential, 1.302, 0.060, 1.242,3072,592,0,0,2097152,262144,4,1073741824,0
Write,Sequential, 1.281, 0.072, 1.208,3200,589,0,0,2097152,262144,3,1073741824,0
Write,Sequential, 1.295, 0.067, 1.229,3200,590,0,0,2097152,262144,10,1073741824,0
Write,Sequential, 1.304, 0.096, 1.207,3072,589,0,0,2097152,262144,6,1073741824,0
Write,Sequential, 1.314, 0.080, 1.234,3072,591,0,0,2097152,262144,4,1073741824,0
Write,Sequential, 1.298, 0.076, 1.222,3072,591,0,0,2097152,262144,5,1073741824,0
Read,Random, 1.252, 0.107, 1.144,3200,591,0,2097152,0,262144,4,1073741824,0
Read,Random, 1.255, 0.072, 1.183,2944,589,0,2097152,0,262144,6,1073741824,0
Read,Random, 1.254, 0.129, 1.125,3200,593,0,2097152,0,262144,6,1073741824,0
Read,Random, 1.269, 0.112, 1.157,3200,591,0,2097152,0,262144,6,1073741824,0
Read,Random, 1.251, 0.116, 1.135,3200,591,0,2097152,0,262144,5,1073741824,0
Read,Random, 1.271, 0.076, 1.195,3200,593,0,2097152,0,262144,6,1073741824,0
Read,Random, 1.254, 0.113, 1.141,3200,591,0,2097152,0,262144,4,1073741824,0
Read,Random, 1.250, 0.067, 1.183,3200,590,0,2097152,0,262144,5,1073741824,0
Read,Random, 1.253, 0.072, 1.181,3200,592,0,2097152,0,262144,7,1073741824,0
Read,Random, 1.249, 0.095, 1.154,3200,594,0,2097152,0,262144,6,1073741824,0
Write,Random, 1.328, 0.049, 1.279,2944,589,0,0,2097152,262144,8,1073741824,0
Write,Random, 1.331, 0.112, 1.218,3200,591,0,0,2097152,262144,8,1073741824,0
Write,Random, 1.325, 0.123, 1.202,2944,589,0,0,2097152,262144,7,1073741824,0
Write,Random, 1.315, 0.112, 1.203,2944,589,0,0,2097152,262144,6,1073741824,0
Write,Random, 1.317, 0.082, 1.235,3200,594,0,0,2097152,262144,6,1073741824,0
Write,Random, 1.314, 0.081, 1.233,3200,590,0,0,2097152,262144,10,1073741824,0
Write,Random, 1.312, 0.081, 1.231,3200,593,0,0,2097152,262144,7,1073741824,0
Write,Random, 1.307, 0.072, 1.235,3200,593,0,0,2097152,262144,7,1073741824,0
Write,Random, 1.193, 0.077, 1.115,3200,591,0,0,2097152,262144,6,1073741824,0
Write,Random, 1.193, 0.136, 1.057,3200,593,0,0,2097152,262144,7,1073741824,0

