PrivateOrNot,AnonymousOrNot,TotalTime,Usertime,Systime,Maxrss,Minfaults,Majfaults,Inblock,Outblock,VolCSW,InvolCSV,Filesize,ProcessorCore
Shared,FileBacked, 1.144, 0.044, 1.099,1050752,262479,0,0,2097152,1258,233,1073741824,0
Shared,FileBacked, 1.115, 0.032, 1.083,1050496,262474,0,0,2097152,3266,169,1073741824,0
Shared,FileBacked, 1.146, 0.093, 1.053,1050752,262479,0,0,2097152,4806,8,1073741824,0
Shared,FileBacked, 1.129, 0.077, 1.052,1050752,262476,0,0,2097152,3240,11,1073741824,0
Shared,FileBacked, 1.140, 0.064, 1.077,1050752,262476,0,0,2097152,2155,10,1073741824,0
Shared,FileBacked, 1.148, 0.044, 1.104,1050496,262475,0,0,2097152,3905,10,1073741824,0
Shared,FileBacked, 1.154, 0.061, 1.093,1050752,262476,0,0,2097152,4443,10,1073741824,0
Shared,FileBacked, 1.133, 0.073, 1.060,1050752,262476,0,0,2097152,3267,7,1073741824,0
Shared,FileBacked, 1.100, 0.064, 1.036,1050752,262479,0,0,2097152,1469,8,1073741824,0
Shared,FileBacked, 1.164, 0.089, 1.075,1050496,262474,0,0,2097152,1195,11,1073741824,0
Shared,FileBacked, 1.141, 0.066, 1.076,1050752,262478,0,0,2097152,14720,13,1073741824,0
Shared,FileBacked, 1.068, 0.064, 1.004,1050496,262474,0,0,2097152,1191,8,1073741824,0
Shared,FileBacked, 1.148, 0.040, 1.108,1050496,262475,0,0,2097152,2864,11,1073741824,0
Shared,FileBacked, 1.138, 0.068, 1.070,1050752,262476,0,0,2097152,1436,8,1073741824,0
Shared,FileBacked, 1.119, 0.080, 1.039,1050752,262477,0,0,2097152,2792,12,1073741824,0
Shared,FileBacked, 1.096, 0.085, 1.011,1050752,262478,0,0,2097152,795,9,1073741824,0
Shared,FileBacked, 1.167, 0.081, 1.087,1050752,262478,0,0,2097152,1891,7,1073741824,0
Shared,FileBacked, 1.135, 0.048, 1.086,1050624,262477,0,0,2097152,2324,9,1073741824,0
Shared,FileBacked, 2.031, 0.109, 1.922,1050624,262477,0,0,2097152,2932,22,1073741824,0
Shared,FileBacked, 1.576, 0.097, 1.479,1050752,262476,0,0,2097152,4407,14,1073741824,0
Private,FileBacked, 1.233, 0.072, 1.161,1050496,262473,0,0,0,0,9,1073741824,0
Private,FileBacked, 0.793, 0.064, 0.729,1050624,262476,0,0,0,0,3,1073741824,0
Private,FileBacked, 0.811, 0.112, 0.700,1050752,262479,0,0,0,0,4,1073741824,0
Private,FileBacked, 0.805, 0.064, 0.741,1050624,262477,0,0,0,0,7,1073741824,0
Private,FileBacked, 0.805, 0.084, 0.721,1050752,262478,0,0,0,0,8,1073741824,0
Private,FileBacked, 0.780, 0.072, 0.708,1050624,262475,0,0,0,0,4,1073741824,0
Private,FileBacked, 0.797, 0.068, 0.730,1050752,262479,0,0,0,0,7,1073741824,0
Private,FileBacked, 0.813, 0.060, 0.753,1050752,262477,0,0,0,0,7,1073741824,0
Private,FileBacked, 0.787, 0.052, 0.735,1050752,262479,0,0,0,0,7,1073741824,0
Private,FileBacked, 0.814, 0.080, 0.734,1050752,262478,0,0,0,0,5,1073741824,0
Private,FileBacked, 0.800, 0.076, 0.724,1050752,262476,0,0,0,0,5,1073741824,0
Private,FileBacked, 0.796, 0.068, 0.728,1050752,262476,0,0,0,0,3,1073741824,0
Private,FileBacked, 0.816, 0.064, 0.752,1050752,262475,0,0,0,0,10,1073741824,0
Private,FileBacked, 0.819, 0.060, 0.759,1050752,262478,0,0,0,0,10,1073741824,0
Private,FileBacked, 0.813, 0.040, 0.773,1050624,262475,0,0,0,0,5,1073741824,0
Private,FileBacked, 0.797, 0.084, 0.713,1050752,262479,0,0,0,0,5,1073741824,0
Private,FileBacked, 0.796, 0.040, 0.756,1050752,262478,0,0,0,0,8,1073741824,0
Private,FileBacked, 0.814, 0.056, 0.757,1050752,262477,0,0,0,0,10,1073741824,0
Private,FileBacked, 0.824, 0.060, 0.764,1050752,262479,0,0,0,0,8,1073741824,0
Private,FileBacked, 0.821, 0.068, 0.753,1050752,262477,0,0,0,0,7,1073741824,0
Shared,Anonymous, 0.792, 0.076, 0.716,1050752,262477,0,0,0,0,10,1073741824,0
Shared,Anonymous, 0.771, 0.052, 0.719,1050496,262474,0,0,0,0,14,1073741824,0
Shared,Anonymous, 0.804, 0.064, 0.740,1050624,262475,0,0,0,0,15,1073741824,0
Shared,Anonymous, 0.776, 0.080, 0.696,1050752,262478,0,0,0,0,11,1073741824,0
Shared,Anonymous, 0.796, 0.068, 0.728,1050752,262476,0,0,0,0,14,1073741824,0
Shared,Anonymous, 0.785, 0.056, 0.729,1050752,262476,0,0,0,0,19,1073741824,0
Shared,Anonymous, 0.795, 0.056, 0.739,1050752,262479,0,0,0,0,18,1073741824,0
Shared,Anonymous, 0.779, 0.056, 0.723,1050752,262478,0,0,0,0,14,1073741824,0
Shared,Anonymous, 0.781, 0.056, 0.725,1050752,262476,0,0,0,0,10,1073741824,0
Shared,Anonymous, 0.806, 0.040, 0.766,1050752,262477,0,0,0,0,15,1073741824,0
Shared,Anonymous, 0.756, 0.048, 0.709,1050752,262476,0,0,0,0,14,1073741824,0
Shared,Anonymous, 0.763, 0.040, 0.723,1050624,262475,0,0,0,0,17,1073741824,0
Shared,Anonymous, 0.772, 0.044, 0.728,1050624,262476,0,0,0,0,8,1073741824,0
Shared,Anonymous, 0.759, 0.048, 0.711,1050752,262478,0,0,0,0,11,1073741824,0
Shared,Anonymous, 0.757, 0.048, 0.709,1050624,262475,0,0,0,0,13,1073741824,0
Shared,Anonymous, 0.761, 0.064, 0.697,1050752,262478,0,0,0,0,11,1073741824,0
Shared,Anonymous, 0.768, 0.076, 0.692,1050752,262479,0,0,0,0,12,1073741824,0
Shared,Anonymous, 0.764, 0.084, 0.680,1050752,262476,0,0,0,0,13,1073741824,0
Shared,Anonymous, 0.764, 0.056, 0.708,1050752,262478,0,0,0,0,20,1073741824,0
Shared,Anonymous, 0.752, 0.072, 0.680,1050752,262476,0,0,0,0,15,1073741824,0
Private,Anonymous, 0.533, 0.096, 0.436,1050752,262476,0,0,0,0,7,1073741824,0
Private,Anonymous, 0.529, 0.048, 0.481,1050752,262477,0,0,0,0,7,1073741824,0
