PrivateOrNot,AnonymousOrNot,TotalTime,Usertime,Systime,Maxrss,Minfaults,Majfaults,Inblock,Outblock,VolCSW,InvolCSV,Filesize,ProcessorCore
Shared,Anonymous, 0.996, 0.076, 0.920,1050624,262477,0,0,0,0,85,1073741824,0
Shared,Anonymous, 0.822, 0.064, 0.758,1050624,262476,0,0,0,0,77,1073741824,0
Shared,Anonymous, 0.820, 0.056, 0.764,1050752,262480,0,0,0,0,80,1073741824,0
Shared,Anonymous, 0.818, 0.036, 0.782,1050624,262477,0,0,0,0,79,1073741824,0
Shared,Anonymous, 0.818, 0.080, 0.739,1050624,262477,0,0,0,0,78,1073741824,0
Shared,Anonymous, 0.835, 0.068, 0.767,1050752,262482,0,0,0,0,80,1073741824,0
Shared,Anonymous, 0.840, 0.068, 0.772,1050624,262478,0,0,0,0,82,1073741824,0
Shared,Anonymous, 0.849, 0.064, 0.785,1050752,262481,0,0,0,0,73,1073741824,0
Shared,Anonymous, 0.843, 0.048, 0.795,1050752,262480,0,0,0,0,75,1073741824,0
Shared,Anonymous, 0.851, 0.100, 0.752,1050752,262480,0,0,0,0,74,1073741824,0
Shared,Anonymous, 0.847, 0.068, 0.780,1050752,262481,0,0,0,0,78,1073741824,0
Shared,Anonymous, 0.826, 0.056, 0.771,1050752,262479,0,0,0,0,80,1073741824,0
Shared,Anonymous, 0.828, 0.076, 0.752,1050624,262476,0,0,0,0,77,1073741824,0
Shared,Anonymous, 0.796, 0.064, 0.732,1050752,262479,0,0,0,0,78,1073741824,0
Shared,Anonymous, 0.824, 0.060, 0.764,1050752,262481,0,0,0,0,71,1073741824,0
Shared,Anonymous, 0.846, 0.048, 0.798,1050752,262479,0,0,0,0,75,1073741824,0
Shared,Anonymous, 0.826, 0.068, 0.758,1050624,262477,0,0,0,0,77,1073741824,0
Shared,Anonymous, 0.828, 0.068, 0.760,1050624,262479,0,0,0,0,79,1073741824,0
Shared,Anonymous, 0.819, 0.076, 0.743,1050624,262477,0,0,0,0,77,1073741824,0
Shared,Anonymous, 0.851, 0.064, 0.787,1050752,262480,0,0,0,0,82,1073741824,0
Private,Anonymous, 0.585, 0.076, 0.509,1050752,262478,0,0,0,0,57,1073741824,0
Private,Anonymous, 0.589, 0.056, 0.533,1050752,262480,0,0,0,0,60,1073741824,0
Private,Anonymous, 0.592, 0.064, 0.528,1050752,262481,0,0,0,0,64,1073741824,0
Private,Anonymous, 0.564, 0.048, 0.516,1050752,262478,0,0,0,0,62,1073741824,0
Private,Anonymous, 0.562, 0.040, 0.523,1050752,262478,0,0,0,0,54,1073741824,0
Private,Anonymous, 0.586, 0.036, 0.550,1050752,262478,0,0,0,0,57,1073741824,0
Private,Anonymous, 0.578, 0.068, 0.510,1050752,262478,0,0,0,0,60,1073741824,0
Private,Anonymous, 0.589, 0.040, 0.549,1050752,262478,0,0,0,0,63,1073741824,0
Private,Anonymous, 0.568, 0.084, 0.484,1050752,262480,0,0,0,0,52,1073741824,0
Private,Anonymous, 0.598, 0.064, 0.534,1050624,262477,0,0,0,0,66,1073741824,0
Private,Anonymous, 0.556, 0.048, 0.508,1050752,262481,0,0,0,0,59,1073741824,0
Private,Anonymous, 0.585, 0.080, 0.505,1050752,262478,0,0,0,0,62,1073741824,0
Private,Anonymous, 0.584, 0.056, 0.528,1050752,262480,0,0,0,0,54,1073741824,0
Private,Anonymous, 0.584, 0.068, 0.516,1050624,262477,0,0,0,0,59,1073741824,0
Private,Anonymous, 0.581, 0.068, 0.513,1050496,262476,0,0,0,0,61,1073741824,0
Private,Anonymous, 0.591, 0.088, 0.503,1050624,262477,0,0,0,0,57,1073741824,0
Private,Anonymous, 0.576, 0.056, 0.520,1050624,262479,0,0,0,0,57,1073741824,0
Private,Anonymous, 0.581, 0.096, 0.486,1050752,262479,0,0,0,0,58,1073741824,0
Private,Anonymous, 0.566, 0.056, 0.510,1050496,262475,0,0,0,0,61,1073741824,0
Private,Anonymous, 0.581, 0.072, 0.509,1050624,262478,0,0,0,0,51,1073741824,0

